행 레이블,합계 : 강력,합계 : 폭력,합계 : 지능,합계 : 계,,,,
2018,26787,287611,344698,659096,,,,
월요일,3529,37497,56954,97980,13.17%,13.04%,16.52%,14.87%
화요일,3619,39345,56076,99040,13.51%,13.68%,16.27%,15.03%
수요일,3693,38608,56448,98749,13.79%,13.42%,16.38%,14.98%
목요일,3659,38576,57746,99981,13.66%,13.41%,16.75%,15.17%
금요일,3834,41040,58834,103708,14.31%,14.27%,17.07%,15.73%
토요일,4299,47133,31248,82680,16.05%,16.39%,9.07%,12.54%
일요일,4154,45412,27392,76958,15.51%,15.79%,7.95%,11.68%
2019,26476,287913,381533,695922,,,,
월요일,3519,38034,64776,106329,13.29%,13.21%,16.98%,15.28%
화요일,3607,38553,63173,105333,13.62%,13.39%,16.56%,15.14%
수요일,3634,38905,62642,105181,13.73%,13.51%,16.42%,15.11%
목요일,3445,39086,63327,105858,13.01%,13.58%,16.60%,15.21%
금요일,3880,41198,64724,109802,14.65%,14.31%,16.96%,15.78%
토요일,4310,46842,33854,85006,16.28%,16.27%,8.87%,12.21%
일요일,4081,45295,29037,78413,15.41%,15.73%,7.61%,11.27%
2020,24332,265768,424642,714742,,,,
월요일,3320,34826,73767,111913,13.64%,13.10%,17.37%,15.66%
화요일,3121,36106,70867,110094,12.83%,13.59%,16.69%,15.40%
수요일,3402,36525,69560,109487,13.98%,13.74%,16.38%,15.32%
목요일,3312,36065,70131,109508,13.61%,13.57%,16.52%,15.32%
금요일,3644,38614,70358,112616,14.98%,14.53%,16.57%,15.76%
토요일,3896,42746,37517,84159,16.01%,16.08%,8.83%,11.77%
일요일,3637,40886,32442,76965,14.95%,15.38%,7.64%,10.77%
2021,22476,232661,361107,616244,,,,
월요일,3267,32003,63251,98521,14.54%,13.76%,17.52%,15.99%
화요일,2953,31961,62213,97127,13.14%,13.74%,17.23%,15.76%
수요일,3119,31823,59925,94867,13.88%,13.68%,16.59%,15.39%
목요일,3127,31739,60576,95442,13.91%,13.64%,16.78%,15.49%
금요일,3228,34121,58798,96147,14.36%,14.67%,16.28%,15.60%
토요일,3531,37214,30275,71020,15.71%,15.99%,8.38%,11.52%
일요일,3251,33800,26069,63120,14.46%,14.53%,7.22%,10.24%
2022,24954,245286,405105,675345,,,,
월요일,3445,33005,68747,105197,13.81%,13.46%,16.97%,15.58%
화요일,3420,33201,68148,104769,13.71%,13.54%,16.82%,15.51%
수요일,3403,33337,66354,103094,13.64%,13.59%,16.38%,15.27%
목요일,3411,33329,67742,104482,13.67%,13.59%,16.72%,15.47%
금요일,3653,35716,68516,107885,14.64%,14.56%,16.91%,15.97%
토요일,4026,39640,35425,79091,16.13%,16.16%,8.74%,11.71%
일요일,3596,37058,30173,70827,14.41%,15.11%,7.45%,10.49%
총합계,125025,1319239,1917085,3361349,,,,
